studentId,courseId,grade,semester,department
318,CSE101,3.05,Fall 2023,Computer Science
318,MAT101,2.33,Fall 2023,Mathematics
318,ENG201,3.53,Spring 2024,Humanities
318,CSE102,2.51,Spring 2024,Computer Science
425,MAT101,3.08,Fall 2023,Mathematics
425,CSE101,3.53,Fall 2023,Computer Science
425,CSE102,3.81,Spring 2024,Computer Science
425,ENG201,3.93,Spring 2024,Humanities
715,CSE101,2.98,Fall 2023,Computer Science
715,MAT101,2.51,Fall 2023,Mathematics
715,CSE102,2.83,Spring 2024,Computer Science
715,ENG201,3.61,Spring 2024,Humanities
705,CSE101,4.00,Fall 2023,Computer Science
705,MAT101,3.97,Fall 2023,Mathematics
705,ENG201,4.00,Spring 2024,Humanities
705,CSE102,3.99,Spring 2024,Computer Science
876,CSE101,2.16,Fall 2023,Computer Science
876,MAT101,1.70,Fall 2023,Mathematics
876,CSE102,1.90,Spring 2024,Computer Science
876,ENG201,2.99,Spring 2024,Humanities
521,MAT101,3.97,Fall 2023,Mathematics
521,CSE101,4.00,Fall 2023,Computer Science
521,CSE102,4.00,Spring 2024,Computer Science
521,ENG201,4.00,Spring 2024,Humanities
758,CSE101,2.95,Fall 2023,Computer Science
758,MAT101,2.34,Fall 2023,Mathematics
758,CSE102,2.25,Spring 2024,Computer Science
758,ENG201,3.23,Spring 2024,Humanities
827,CSE101,4.00,Fall 2023,Computer Science
827,MAT101,4.00,Fall 2023,Mathematics
827,CSE102,4.00,Spring 2024,Computer Science
827,ENG201,4.00,Spring 2024,Humanities
561,MAT101,2.75,Fall 2023,Mathematics
561,CSE101,3.04,Fall 2023,Computer Science
561,ENG201,3.62,Spring 2024,Humanities
561,CSE102,3.00,Spring 2024,Computer Science
838,CSE101,3.43,Fall 2023,Computer Science
838,MAT101,3.04,Fall 2023,Mathematics
838,CSE102,3.43,Spring 2024,Computer Science
838,ENG201,4.00,Spring 2024,Humanities
100,MAT101,2.88,Fall 2023,Mathematics
100,CSE101,3.05,Fall 2023,Computer Science
100,ENG201,3.43,Spring 2024,Humanities
100,CSE102,2.89,Spring 2024,Computer Science
532,CSE101,2.93,Fall 2023,Computer Science
532,MAT101,2.87,Fall 2023,Mathematics
532,ENG201,3.43,Spring 2024,Humanities
532,CSE102,2.68,Spring 2024,Computer Science
127,CSE101,3.12,Fall 2023,Computer Science
127,MAT101,2.75,Fall 2023,Mathematics
127,ENG201,3.34,Spring 2024,Humanities
127,CSE102,2.59,Spring 2024,Computer Science
265,MAT101,2.58,Fall 2023,Mathematics
265,CSE101,2.75,Fall 2023,Computer Science
265,ENG201,3.02,Spring 2024,Humanities
265,CSE102,2.85,Spring 2024,Computer Science
548,MAT101,3.64,Fall 2023,Mathematics
548,CSE101,4.00,Fall 2023,Computer Science
548,CSE102,4.00,Spring 2024,Computer Science
548,ENG201,4.00,Spring 2024,Humanities
353,CSE101,3.59,Fall 2023,Computer Science
353,MAT101,3.03,Fall 2023,Mathematics
353,CSE102,3.28,Spring 2024,Computer Science
353,ENG201,4.00,Spring 2024,Humanities
938,CSE101,3.74,Fall 2023,Computer Science
938,MAT101,3.00,Fall 2023,Mathematics
938,ENG201,4.00,Spring 2024,Humanities
938,CSE102,3.38,Spring 2024,Computer Science
658,CSE101,3.22,Fall 2023,Computer Science
658,MAT101,2.26,Fall 2023,Mathematics
